s,x,y,heading
10.26244746,0.60374022,4.04969082,2.68167395
10.27721357,0.59041561,4.05627364,2.68374440
10.29197968,0.57707782,4.06283003,2.68568199
10.30674579,0.56372699,4.06936045,2.68768924
10.32151191,0.55036244,4.07586286,2.68988252
10.33627802,0.53698337,4.08233477,2.69221641
10.35104413,0.52358953,4.08877545,2.69447888
10.36581024,0.51018163,4.09518707,2.69658590
10.38057635,0.49675993,4.10157053,2.69874099
10.39534246,0.48332381,4.10792381,2.70109336
10.41010857,0.46987243,4.11424413,2.70361329
10.42487469,0.45640545,4.12053034,2.70608442
10.43964080,0.44292350,4.12678456,2.70837854
10.45440691,0.42942698,4.13300822,2.71069378
10.46917302,0.41591532,4.13919934,2.71321693
10.48393913,0.40238768,4.14535483,2.71593589
10.49870524,0.38884360,4.15147308,2.71863449
10.51347135,0.37528364,4.15755611,2.72113651
10.52823747,0.36170830,4.16360588,2.72362683
10.54300358,0.34811711,4.16962054,2.72633408
10.55776969,0.33450921,4.17559667,2.72926683
10.57253580,0.32088406,4.18153217,2.73221368
10.58730191,0.30724212,4.18742882,2.73494761
10.60206802,0.29358398,4.19328918,2.73763110
10.61683413,0.27990925,4.19911162,2.74053748
10.63160025,0.26621711,4.20489238,2.74370067
10.64636636,0.25250696,4.21062880,2.74691851
10.66113247,0.23877911,4.21632232,2.74991174
10.67589858,0.22503422,4.22197613,2.75281000
10.69066469,0.21127203,4.22758891,2.75593251
10.70543080,0.19749174,4.23315658,2.75934485
10.72019692,0.18369271,4.23867585,2.76285841
10.73496303,0.16987514,4.24414771,2.76614195
10.74972914,0.15603970,4.24957598,2.76928058
10.76449525,0.14218623,4.25495977,2.77263847
10.77926136,0.12831402,4.26029468,2.77632099
10.79402747,0.11442243,4.26557676,2.78015723
10.80879358,0.10051153,4.27080641,2.78376601
10.82355970,0.08658195,4.27598803,2.78717522
10.83832581,0.07263364,4.28112133,2.79079040
10.85309192,0.05866600,4.28620163,2.79476680
10.86785803,0.04467843,4.29122422,2.79895514
10.88262414,0.03067090,4.29618881,2.80292854
